temperature,characteristic,mode,classifier,mean_acc,ci_lo,ci_hi
0.0,sex,content,logistic,0.5551999999999999,0.5287085813646196,0.5816914186353802
0.0,sex,content,mlp,0.5468000000000001,0.5145836642536449,0.5790163357463552
0.0,sex,content,xgboost,0.5800000000000001,0.5509333910221613,0.6090666089778388
0.0,sex,stopwords,logistic,0.5448000000000001,0.5125836642536449,0.5770163357463552
0.0,sex,stopwords,mlp,0.542,0.5238360216453232,0.5601639783546769
0.0,sex,stopwords,xgboost,0.5664,0.5395157521529187,0.5932842478470813
0.0,race_ethnicity,content,logistic,0.17679999999999998,0.15475565529451993,0.19884434470548004
0.0,race_ethnicity,content,mlp,0.1688,0.1531333687755756,0.18446663122442442
0.0,race_ethnicity,content,xgboost,0.17679999999999998,0.16481295749780722,0.18878704250219275
0.0,race_ethnicity,stopwords,logistic,0.16960000000000003,0.15318371802510383,0.18601628197489622
0.0,race_ethnicity,stopwords,mlp,0.162,0.13434682976076812,0.1896531702392319
0.0,race_ethnicity,stopwords,xgboost,0.16199999999999998,0.144884842915044,0.17911515708495596
0.0,patron_type,content,logistic,0.3736,0.3623015398699093,0.38489846013009066
0.0,patron_type,content,mlp,0.5044000000000001,0.4815452860589615,0.5272547139410386
0.0,patron_type,content,xgboost,0.5216,0.4982778611163384,0.5449221388836615
0.0,patron_type,stopwords,logistic,0.4016,0.36821793788050416,0.43498206211949586
0.0,patron_type,stopwords,mlp,0.4584,0.4042372557657608,0.5125627442342391
0.0,patron_type,stopwords,xgboost,0.49240000000000006,0.4460275482113525,0.5387724517886476
0.3,sex,content,logistic,0.5496000000000001,0.5159878092622003,0.5832121907377998
0.3,sex,content,mlp,0.5368,0.5123672830742594,0.5612327169257407
0.3,sex,content,xgboost,0.5828,0.5575602966941232,0.6080397033058768
0.3,sex,stopwords,logistic,0.5264,0.4832658007861906,0.5695341992138094
0.3,sex,stopwords,mlp,0.5324000000000001,0.5201836415371298,0.5446163584628704
0.3,sex,stopwords,xgboost,0.5236,0.49419588642942364,0.5530041135705762
0.3,race_ethnicity,content,logistic,0.1648,0.14763088012086695,0.18196911987913306
0.3,race_ethnicity,content,mlp,0.1548,0.14333896374345262,0.16626103625654737
0.3,race_ethnicity,content,xgboost,0.16639999999999996,0.14147995512984446,0.19132004487015547
0.3,race_ethnicity,stopwords,logistic,0.1572,0.13950029855513757,0.17489970144486244
0.3,race_ethnicity,stopwords,mlp,0.1648,0.13517648868650767,0.19442351131349234
0.3,race_ethnicity,stopwords,xgboost,0.1564,0.13705234074052094,0.17574765925947908
0.3,patron_type,content,logistic,0.318,0.30939749947672784,0.32660250052327217
0.3,patron_type,content,mlp,0.3196,0.30664854572233036,0.33255145427766963
0.3,patron_type,content,xgboost,0.3588,0.33613495501407814,0.3814650449859219
0.3,patron_type,stopwords,logistic,0.3012,0.28159900544560834,0.3208009945543917
0.3,patron_type,stopwords,mlp,0.288,0.2639232417849143,0.3120767582150857
0.3,patron_type,stopwords,xgboost,0.3124,0.2795768288594257,0.3452231711405743
